,Name,Nicknames
0,Ingibjǫrg,Inga
1,Ingigerðr,Inga
2,Ingimárr,Ingi
3,Ingmar,"Inge,Ingemar"
4,Ingo,"Ingolf,Ingomar,Ingulf"
5,Ingolf,"Inge,Ingo"
6,Ingólfr,Ingi
7,Ingomar,Ingo
8,Ingram,
9,Íngrid,
10,Ingrid,"Inga,Inge,Inger"
11,Ingrīda,Inga
12,Ingríðr,Inga
13,Ingulf,Ingo
14,Ingūna,
15,Ingunn,
16,Ingvar,Yngvar
17,Ingvild,
18,Ingvildr,Yngvildr
19,Inha,
20,Íñigo,
21,Inigo,
22,Iniobong,
23,Inja,"Ina,Kaja,Karolina,Katarina,Katica,Kristina,Lina,Martina,Tina,Tinkara,Valentina"
24,Inka,"Inga,Ingeborg"
25,Inkar,
26,Inkeri,
27,Inma,Inmaculada
28,Inmaculada,Inma
29,Inna,
30,Innes,"Angus,Aonghas,Aonghus"
31,Innocent,
32,Innocentius,
33,Innocenzo,
34,Innokenti,"Innokentiy,Innokenty,Kesha"
35,Innokentiy,"Innokenti,Innokenty,Kesha"
36,Innokenty,"Innokenti,Innokentiy,Kesha"
37,Inocencio,
38,Inta,
39,Intan,
40,Inti,
41,Intira,
42,Into,
43,Ints,Indriķis
44,Inyene,
45,Inzhu,
46,Io,
47,Ioab,
48,Ioachim,"Ioakeim,Joachim"
49,Ioakeim,"Ioachim,Joachim"
50,Ioan,"Iancu,Ion,Ionel,Ionuț,Ivan,Ivo,Nelu,Yanko,Yoan"
51,Ioana,"Ionela,Oana,Yanka,Yoana"
52,Ioane,"Ivane,Vano"
53,Ioann,"Ivan,Vanya"
54,Ioanna,"Gianna,Nana,Yanna,Yianna"
55,Ioannes,
56,Ioannicius,"Ioannikios,Joannicius"
57,Ioannikios,"Ioannicius,Joannicius"
58,Ioannis,"Giannis,Yanni,Yannis,Yianni,Yiannis"
59,Ioannu,
60,Iob,
61,Iocasta,"Iokaste,Jocasta"
62,Iodocus,"Iudocus,Jodocus,Judoc,Judocus"
63,Ioel,
64,Iohanna,
65,Iohannes,
66,Iohel,
67,Iokaste,"Iocasta,Jocasta"
68,Iokua,
69,Iola,
70,Iolana,
71,Iolanda,
72,Iolanta,
73,Iolanthe,
74,Iole,
75,Iolo,Iorwerth
76,Iolyn,"Iolo,Iorwerth"
77,Íomhar,Ivor
78,Iomhar,"Evander,Ivor"
79,Ion,"Iancu,Ioan,Ionel,Ionuț,Jon,Nelu"
80,Iona,
81,Ionas,
82,Ionatán,
83,Ionathan,
84,Ione,Nonie
85,Ionel,"Ioan,Ion,Ionuț,Nelu"
86,Ionela,"Ioana,Oana"
87,Ionuț,"Ioan,Ion,Ionel,Nelu"
88,Ioram,
89,Iordan,Yordan
90,Iordanus,
91,Iorwerth,Iolo
92,Iosaphat,
93,Ioseb,Soso
94,Ioseph,Ioses
95,Iosephus,
96,Ioses,Ioseph
97,Iosias,
98,Iosif,Osip
99,Iosifu,
