,Name,Nicknames
0,Aabraham,Aapo
1,Aada,Ada
2,Aadan,
3,Aadolf,"Aatto,Aatu,Atte"
4,Aafje,
5,Aage,Åge
6,Aali,
7,Aalis,
8,Aaliyah,Aleah
9,Aamadu,
10,Aamina,"Aaminah,Amina,Aminah"
11,Aaminah,"Aamina,Amina,Aminah"
12,Aaminata,
13,'Aamir,Aamir
14,Aamir,"'Aamir,Amir"
15,Aamu,
16,Aang,
17,Aapeli,
18,Aapo,
19,Aaren,"Aaron,Arron"
20,Aarne,
21,Aaro,Aaron
22,Aarón,
23,Aaron,"Aaro,Arron"
24,Aart,"Arno,Arnold,Arnoud,Arnout,Noud"
25,Aarthi,
26,Aarti,"Arati,Arti"
27,Aase,
28,Aatami,
29,Aatos,
30,Aatto,
31,Aatu,
32,Aava,
33,Abacuc,Habacuc
34,Abaddon,
35,Abbán,
36,'Abbas,Abbas
37,Abbas,'Abbas
38,Abbe,Aldert
39,Abbey,"Abbi,Abbie,Abby,Abi,Abigail,Abigayle,Gail,Gale,Gayla,Gayle"
40,Abbi,"Abbey,Abbie,Abby,Abi,Abigail,Abigayle,Gail,Gale,Gayla,Gayle"
41,Abbie,"Abbey,Abbi,Abby,Abi,Abigail,Abigayle,Gail,Gale,Gayla,Gayle"
42,Abby,"Abbey,Abbi,Abbie,Abi,Abigail,Abigayle,Gail,Gale,Gayla,Gayle"
43,Abd al-Aziz,"Abdelaziz,Abdul Aziz,Abdulaziz"
44,Abd al-Hamid,"Abdelhamid,Abdul Hamid"
45,Abd al-Kader,"Abd al-Qadir,Abdelkader"
46,Abd al-Karim,
47,Abd Allah,"Abdulla,Abdullah"
48,Abd al-Latif,Abdellatif
49,Abd al-Majid,Abdelmajid
50,Abd al-Malik,
51,Abd al-Qadir,"Abd al-Kader,Abdelkader"
52,Abd al-Rahim,"Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdur Rahim,Abdur Rahman"
53,Abd al-Rahman,"Abd al-Rahim,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdur Rahim,Abdur Rahman"
54,Abd al-Rashid,"Abd ar-Rashid,Abdur Rashid"
55,Abd al-Salam,"Abd as-Salam,Abdeslam,Abdessalam,Abdus Salam"
56,Abd al-Wali,
57,Abd ar-Rahim,"Abd al-Rahim,Abd al-Rahman,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdur Rahim,Abdur Rahman"
58,Abd ar-Rahman,"Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abderrahim,Abderrahmane,Abdul Rahman,Abdur Rahim,Abdur Rahman"
59,Abd ar-Rashid,"Abd al-Rashid,Abdur Rashid"
60,Abd as-Salam,"Abd al-Salam,Abdeslam,Abdessalam,Abdus Salam"
61,Abdelaziz,"Abd al-Aziz,Abdul Aziz,Abdulaziz"
62,Abdelhamid,"Abd al-Hamid,Abdul Hamid"
63,Abdelkader,"Abd al-Kader,Abd al-Qadir"
64,Abdellatif,Abd al-Latif
65,Abdelmajid,Abd al-Majid
66,Abderrahim,"Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahmane,Abdul Rahman,Abdur Rahim,Abdur Rahman"
67,Abderrahmane,"Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abdul Rahman,Abdur Rahim,Abdur Rahman"
68,Abdeslam,"Abd al-Salam,Abd as-Salam,Abdessalam,Abdus Salam"
69,Abdessalam,"Abd al-Salam,Abd as-Salam,Abdeslam,Abdus Salam"
70,Abdias,
71,Abdiel,
72,Abdiou,
73,Abdolhossein,
74,Abdollah,
75,Abdolreza,
76,Abdou,
77,Abdoul,
78,Abdoulaye,
79,Abduh,Abdul
80,Abdul,Abduh
81,Abdulah,
82,Abdülaziz,
83,Abdul Aziz,"Abd al-Aziz,Abdelaziz,Abdulaziz"
84,Abdulaziz,"Abd al-Aziz,Abdelaziz,Abdul Aziz"
85,Abdul Hamid,"Abd al-Hamid,Abdelhamid"
86,Abdülhamit,
87,Abdülkadir,
88,Abdülkerim,
89,Abdulla,"Abd Allah,Abdullah,Abdullo"
90,Abdullaahi,
91,Abdullah,"Abd Allah,Abdulla"
92,Abdüllatif,
93,Abdullo,Abdulla
94,Abdullohi,
95,Abdul Rahman,"Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdur Rahim,Abdur Rahman"
96,Abdurakhman,
97,Abdur Rahim,"Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdur Rahman"
98,Abdur Rahman,"Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdur Rahim"
